Entity,Year,Code,Electricity from coal - TWh,Electricity from fossil fuels - TWh,Electricity from gas - TWh,Electricity from oil - TWh,Electricity from nuclear - TWh
Indonesia,2000,IDN,34.0,78.44,31.93,12.51,0.0
Indonesia,2001,IDN,37.71,83.97,33.09,13.17,0.0
Indonesia,2002,IDN,42.93,92.04,29.26,19.85,0.0
Indonesia,2003,IDN,46.46,97.57,27.95,23.16,0.0
Indonesia,2004,IDN,48.21,103.81,26.76,28.84,0.0
Indonesia,2005,IDN,51.83,110.23,21.7,36.7,0.0
Indonesia,2006,IDN,58.67,116.82,23.95,34.2,0.0
Indonesia,2007,IDN,63.9,124.11,24.8,35.41,0.0
Indonesia,2008,IDN,61.49,129.56,27.76,40.31,0.0
Indonesia,2009,IDN,65.91,136.08,40.4,29.77,0.0
Indonesia,2010,IDN,68.48,142.93,38.83,35.62,0.0
Indonesia,2011,IDN,81.09,161.42,39.16,41.17,0.0
Indonesia,2012,IDN,102.17,177.85,48.92,26.76,0.0
Indonesia,2013,IDN,111.25,189.68,58.05,20.38,0.0
Indonesia,2014,IDN,119.53,203.13,60.54,23.06,0.0
Indonesia,2015,IDN,124.66,209.72,54.14,30.92,0.0
Indonesia,2016,IDN,135.38,217.97,61.79,20.8,0.0
Indonesia,2017,IDN,147.96,222.64,55.83,18.85,0.0
Indonesia,2018,IDN,160.01,235.41,57.45,17.95,0.0
Indonesia,2019,IDN,174.49,247.4,62.32,10.59,0.0
Indonesia,2020,IDN,180.87,238.93,51.28,6.78,0.0
Indonesia,2021,IDN,189.96,253.16,56.53,6.67,0.0
Indonesia,2022,IDN,205.31,268.13,56.71,6.11,0.0
Indonesia,2023,IDN,216.78,285.4,62.04,6.58,0.0
Indonesia,2024,IDN,228.43346,301.68924,66.136185,7.1195884,0.0
